# Vietnam headline CPI — manual monthly entries, overlaid over the Vietstock history.
#
# WHY THIS FILE EXISTS: Vietstock's CPI feed (NormID 395) froze at 2025-08, and every
# free cloud-reachable source lags (IMF 2025-03) or doesn't cover Vietnam. The only
# CURRENT source is GSO, which geo-gates foreign/cloud IPs behind a VPN portal — but
# you (in Vietnam) can read it. So enter each new month here; refresh_macro.py upserts
# these (source='gso-manual') on top of the Vietstock backfill.
#
# VALUE = CPI so với tháng trước (the MoM index, previous month = 100).
#   GSO wording "CPI tháng 9/2025 tăng 0,19% so với tháng trước"  ->  100.19
#   GSO wording "... giảm 0,23% so với tháng trước"               ->   99.77
# Vietstock already covers through 2025-08; add 2025-09 onward below (uncomment + fill).
# Blank/unfilled months are ignored, so it's safe to leave placeholders.
#
# You usually DON'T fill this by hand: run `python3 scripts/fetch_cpi.py` (daily) or
# `python3 scripts/fetch_cpi.py --backfill` (2025-09 -> now) to auto-populate it from
# CafeF, then review. Only hand-fill the months it reports as "not found".
#
# CAUTION: use the NATIONAL figure, not a city release — CafeF republishes Hanoi's
# monthly CPI with near-identical wording ("Hà Nội: CPI tháng 11 tăng 0,26%..."),
# which is how 2025-11 was briefly stored as 100.26 instead of the national 100.45.
#
month,mom_index
2025-09,100.42
2025-10,100.20
2025-11,100.45
2025-12,100.19
2026-01,100.05
2026-02,101.14
2026-03,101.23
2026-04,100.84
2026-05,100.29
2026-06,99.61
